_id,name,category_code,offices,address1,address2,city,latitude,longitude,country_code
613517e27c85e5f861db87b8,Tragara,biotech,"{'description': 'HQ', 'address1': '10955 Vista Sorrento Parkway, Suite 120', 'address2': '', 'zip_code': '92130', 'city': 'San Diego', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 32.915856, 'longitude': -117.228663}","10955 Vista Sorrento Parkway, Suite 120",,San Diego,32.915856,-117.228663,USA
613517e27c85e5f861db89af,EcoSMART Technologies,cleantech,"{'description': 'HQ', 'address1': '3600 Mansell Road,SIUTe 150', 'address2': '', 'zip_code': '30022', 'city': 'Alpharetta', 'state_code': 'GA', 'country_code': 'USA', 'latitude': 34.0374308, 'longitude': -84.2952754}","3600 Mansell Road,SIUTe 150",,Alpharetta,34.0374308,-84.2952754,USA
613517e27c85e5f861db864c,Concert Pharmaceuticals,biotech,"{'description': 'Corporate Headquarters', 'address1': '99 Hayden Avenue', 'address2': 'Suite 500', 'zip_code': '02421', 'city': 'Lexington', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.4236783, 'longitude': -71.2459523}",99 Hayden Avenue,Suite 500,Lexington,42.4236783,-71.2459523,USA
613517e27c85e5f861db87fc,Aileron Therapeutics,biotech,"{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'Cambridge', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.3736158, 'longitude': -71.1097335}",,,Cambridge,42.3736158,-71.1097335,USA
613517e27c85e5f861db88e3,Luca Technologies,biotech,"{'description': 'Corporate Office', 'address1': '500 Corporate Circle', 'address2': 'Suite C', 'zip_code': '80401', 'city': 'Golden', 'state_code': 'CO', 'country_code': 'USA', 'latitude': 39.720088, 'longitude': -105.192312}",500 Corporate Circle,Suite C,Golden,39.720088,-105.192312,USA
613517e27c85e5f861db88e4,Luca Technologies,biotech,"{'description': 'Gillette Office', 'address1': 'PO Box 7070', 'address2': '', 'zip_code': '82717', 'city': 'Gillette', 'state_code': 'WY', 'country_code': 'USA', 'latitude': 44.2264, 'longitude': -105.604}",PO Box 7070,,Gillette,44.2264,-105.604,USA
613517e27c85e5f861db86de,Kythera Biopharmaceuticals,biotech,"{'description': '', 'address1': '27200 West Agoura Road', 'address2': 'Suite 200', 'zip_code': '91301', 'city': 'Calabasas', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.143507, 'longitude': -118.763605}",27200 West Agoura Road,Suite 200,Calabasas,34.143507,-118.763605,USA
613517e27c85e5f861db8a53,GreenVolts,cleantech,"{'description': 'Headquarters', 'address1': '46400 Fremont Boulevard', 'address2': '', 'zip_code': '94538', 'city': 'Fremont', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.790153, 'longitude': -122.398669}",46400 Fremont Boulevard,,Fremont,37.790153,-122.398669,USA
613517e17c85e5f861db7cb6,Histogenics,biotech,"{'description': '', 'address1': '830 Winter Street,', 'address2': '3rd Floor', 'zip_code': '02451', 'city': 'Waltham', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.4001965, 'longitude': -71.2751097}","830 Winter Street,",3rd Floor,Waltham,42.4001965,-71.2751097,USA
613517e27c85e5f861db88ff,Catalyst Biosciences,biotech,"{'description': 'Headquarters', 'address1': '260 Littlefield Avenue', 'address2': '', 'zip_code': '94080', 'city': 'South San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.645401, 'longitude': -122.394464}",260 Littlefield Avenue,,South San Francisco,37.645401,-122.394464,USA
613517e27c85e5f861db8450,Pelikan Technologies,biotech,"{'description': 'Pelikan Technologies', 'address1': '1072 East Meadow Circle', 'address2': '', 'zip_code': '94303', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.4298665, 'longitude': -122.108852}",1072 East Meadow Circle,,Palo Alto,37.4298665,-122.108852,USA
613517e27c85e5f861db8802,VaxInnate,biotech,"{'description': '', 'address1': '3 Cedar Brook Drive', 'address2': 'Suite #1', 'zip_code': '', 'city': 'Cranbury', 'state_code': 'NJ', 'country_code': 'USA', 'latitude': 40.3321605, 'longitude': -74.5014238}",3 Cedar Brook Drive,Suite #1,Cranbury,40.3321605,-74.5014238,USA
613517e27c85e5f861db8510,Synosia Therapeutics,biotech,"{'description': 'Headquarters', 'address1': 'Aeschenvorstadt 36', 'address2': 'CH-4051', 'zip_code': '', 'city': 'Basel', 'state_code': None, 'country_code': 'CHE', 'latitude': 47.5525264, 'longitude': 7.5930992}",Aeschenvorstadt 36,CH-4051,Basel,47.5525264,7.5930992,CHE
613517e17c85e5f861db6dc0,Arcadian Networks,cleantech,"{'description': '', 'address1': '12580 192nd Court, NW', 'address2': 'Building One - Suite C', 'zip_code': '55330-5086', 'city': 'Elk River', 'state_code': 'MN', 'country_code': 'USA', 'latitude': 45.3200381, 'longitude': -93.5874441}","12580 192nd Court, NW",Building One - Suite C,Elk River,45.3200381,-93.5874441,USA
613517e17c85e5f861db6696,FameCast,games_video,"{'description': 'HQ', 'address1': '3000 East Cesar Chavez', 'address2': '', 'zip_code': '78702', 'city': 'Austin', 'state_code': 'TX', 'country_code': 'USA', 'latitude': 30.268735, 'longitude': -97.745209}",3000 East Cesar Chavez,,Austin,30.268735,-97.745209,USA
